Trial time;Recording time;X center;Y center;Area;Areachange;Elongation;Velocity;Result 1
6,886;6,886;-0,0569596;0,190333;0,00255491;0;0,828389;0;1
6,926;6,926;-0,0423913;0,198449;0,00254073;0,000892362;0,831238;0,416547;1
6,966;6,966;-0,0423913;0,198449;0,00254073;0;0,831238;0;1
7,006;7,006;-0,0278099;0,206283;0,00254006;0,00076006;0,820002;0,413447;1
7,046;7,046;-0,0278099;0,206283;0,00254006;0;0,820002;0;1
7,086;7,086;-0,0132506;0,213288;0,00254006;0,000863336;0,836813;0,40357;1
7,126;7,126;-0,0132506;0,213288;0,00254006;0;0,836813;0;1
7,166;7,166;0,00196976;0,218913;0,00252318;0,00102534;0,784204;0,405309;1
7,206;7,206;0,00196976;0,218913;0,00252318;0;0,784204;0;1
7,246;7,246;0,0192568;0,222713;0,00265413;0,000897087;0,781834;0,442107;1
7,286;7,286;0,0192568;0,222713;0,00265413;0;0,781834;0;1
7,326;7,326;0,0385631;0,224923;0,00272906;0,00107731;0,826549;0,485384;1
7,367;7,367;0,048667;0,225569;0,00276821;0,000993613;0,835408;0,252887;1
7,407;7,407;0,0589321;0,225755;0,00270071;0,000993613;0,82999;0,256446;1
7,447;7,447;0,0692028;0,225445;0,00267574;0,000829586;0,816833;0,256653;1
7,487;7,487;0,0794906;0,224921;0,00260351;0,000906537;0,811448;0,257303;1
7,527;7,527;0,0896269;0,224311;0,00263523;0,00111174;0,827418;0,253637;1
7,567;7,567;0,0896269;0,224311;0,00263523;0;0,827418;0;1
7,607;7,607;0,108879;0,223375;0,00250631;0,000834311;0,784492;0,481436;1
7,647;7,647;0,108879;0,223375;0,00250631;0;0,784492;0;1
7,687;7,687;0,127234;0,22268;0,00259676;0,00107124;0,805615;0,458802;1
7,727;7,727;0,127234;0,22268;0,00259676;0;0,805615;0;1
7,767;7,767;0,143281;0,221854;0,00253601;0,000955138;0,826719;0,401337;1
7,807;7,807;0,143281;0,221854;0,00253601;0;0,826719;0;1
7,847;7,847;0,155427;0,221329;0,00270881;0,000972688;0,831164;0,30366;1
7,887;7,887;0,155427;0,221329;0,00270881;0;0,831164;0;1
7,927;7,927;0,155427;0,221329;0,00270881;0;0,831164;0;1
7,967;7,967;0,166206;0,219065;0,00261161;0,000600083;0,7651;0,275125;1
8,007;8,007;0,166206;0,219065;0,00261161;0;0,7651;0;1
8,047;8,047;0,166206;0,219065;0,00261161;0;0,7651;0;1
8,087;8,087;0,166206;0,219065;0,00261161;0;0,7651;0;1
8,127;8,127;0,169954;0,208944;0,00237738;0,000949738;0,625891;0,269567;1
8,167;8,167;0,169954;0,208944;0,00237738;0;0,625891;0;1
8,207;8,207;0,169954;0,208944;0,00237738;0;0,625891;0;1
8,247;8,247;0,170488;0,196631;0,00225318;0,000670959;0,708891;0,307849;1
8,287;8,287;0,170488;0,196631;0,00225318;0;0,708891;0;1
8,327;8,327;0,170488;0,196631;0,00225318;0;0,708891;0;1
8,367;8,367;0,172741;0,184506;0,00224643;0,000482631;0,738319;0,308032;1
8,407;8,407;0,172741;0,184506;0,00224643;0;0,738319;0;1
8,447;8,447;0,172741;0,184506;0,00224643;0;0,738319;0;1
8,488;8,488;0,177169;0,173673;0,00236456;0,000572408;0,777099;0,292317;1
8,528;8,528;0,177169;0,173673;0,00236456;0;0,777099;0;1
8,568;8,568;0,177169;0,173673;0,00236456;0;0,777099;0;1
8,608;8,608;0,183253;0,163265;0,00234093;0,000476556;0,78744;0,301142;1
8,648;8,648;0,183253;0,163265;0,00234093;0;0,78744;0;1
8,688;8,688;0,183253;0,163265;0,00234093;0;0,78744;0;1
8,728;8,728;0,190208;0,149141;0,00234161;0,000876837;0,810301;0,393217;1
8,768;8,768;0,190208;0,149141;0,00234161;0;0,810301;0;1
8,808;8,808;0,194454;0,135064;0,0022498;0,000652734;0,750814;0,367252;1
8,848;8,848;0,194454;0,135064;0,0022498;0;0,750814;0;1
8,888;8,888;0,198086;0,118002;0,00223833;0,00102669;0,734282;0,435729;1
8,928;8,928;0,198086;0,118002;0,00223833;0;0,734282;0;1
8,968;8,968;0,201182;0,098968;0,00236996;0,00105639;0,727261;0,481667;1
9,008;9,008;0,202454;0,0888097;0,00238818;0,00101454;0,761219;0,255717;1
9,048;9,048;0,203478;0,078348;0,00246446;0,00111039;0,787463;0,262556;1
9,088;9,088;0,204275;0,0678029;0,00246918;0,00106314;0,789874;0,264148;1
9,128;9,128;0,204832;0,0572447;0,00246311;0,000959188;0,775433;0,264085;1
9,168;9,168;0,205221;0,0466617;0,00253061;0,000897762;0,79372;0,264522;1
9,208;9,208;0,205555;0,0361798;0,00252791;0,000920712;0,815698;0,261945;1
9,248;9,248;0,205785;0,0261335;0,00257853;0,000870086;0,825418;0,251004;1
9,288;9,288;0,205785;0,0261335;0,00257853;0;0,825418;0;1
9,328;9,328;0,205868;0,00788126;0,00259811;0,00125754;0,800401;0,455911;1
9,368;9,368;0,205868;0,00788126;0,00259811;0;0,800401;0;1
9,408;9,408;0,205688;-0,008958;0,00252993;0,000994963;0,780338;0,420638;1
9,448;9,448;0,205688;-0,008958;0,00252993;0;0,780338;0;1
9,488;9,488;0,20563;-0,0248312;0,00246513;0,000976063;0,810793;0,396485;1
9,528;9,528;0,20563;-0,0248312;0,00246513;0;0,810793;0;1
9,568;9,568;0,205677;-0,0402365;0,00244286;0,00076276;0,800348;0,384797;1
